Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,IMDB Rating Scaled
Hot Rod,2007,39,42.918,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride","For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...",14371564.0,Comedy,67.0,43.0,88.0,84956.0,670.0
Game Night,2018,85,99.838,John Francis Daley,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,117378084.0,Comedy,69.0,66.0,100.0,229292.0,690.0
The First Wives Club,1996,49,53.174,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith","Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorcée plunges to her death from her...",181489203.0,Comedy,64.0,58.0,103.0,48413.0,640.0
Scary Movie,2000,52,54.973,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth","Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...",277200000.0,Comedy,62.0,48.0,88.0,254927.0,620.0
Blockers,2018,84,96.883,Kay Cannon,"Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton","Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....",94523781.0,Comedy,62.0,69.0,102.0,78498.0,620.0
Mrs. Doubtfire,1993,72,75.039,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...",441286003.0,Comedy,70.0,53.0,125.0,264071.0,700.0
Pitch Perfect,2012,81,86.532,Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...",116044347.0,Comedy,71.0,66.0,112.0,299964.0,710.0
Four Lions,2009,83,87.28,Christopher Morris,"Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...",8607693.0,Comedy,72.0,68.0,97.0,77085.0,720.0
Big,1988,97,102.285,Penny Marshall,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard","After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York...",151665347.0,Comedy,73.0,73.0,104.0,215913.0,730.0
Wet Hot American Summer,2001,37,39.436,David Wain,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau","Set on the last day of camp, in the hot summer of 1981, ""Wet Hot American Summer"" follows a group...",292102.0,Comedy,65.0,42.0,97.0,57434.0,650.0
Barbershop,2002,83,85.974,Tim Story,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas",A smart comedy about a day in the life of a barbershop on the south side of Chicago. Calvin (Ice...,77063461.0,Comedy,63.0,66.0,102.0,31217.0,630.0
Dazed and Confused,1993,92,95.802,Richard Linklater,"Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane","This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high...",7961889.0,Comedy,76.0,78.0,103.0,179851.0,760.0
Ace Ventura: Pet Detective,1994,49,52.582,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc","When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura (Jim Carrey), a zany private investigator who specializes...",107217396.0,Comedy,69.0,37.0,86.0,296069.0,690.0
Idiocracy,2006,73,73.493,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military...",500296.0,Comedy,65.0,66.0,84.0,159456.0,650.0
Team America: World Police,2004,77,84.02,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa","When North Korean ruler Kim Jong-il (Trey Parker) orchestrates a global terrorist plot, it's up to the heavily armed marionettes...",50948811.0,Comedy,72.0,64.0,98.0,167709.0,720.0
Trainwreck,2015,84,95.283,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn","Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy (Amy Schumer) has made promiscuity...",141123897.0,Comedy,62.0,75.0,125.0,136145.0,620.0
Pee-wee's Big Adventure,1985,87,89.154,Tim Burton,"Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger","Pee-wee Herman (Paul Reubens), an eccentric child-like man, loves his red bicycle and will not sell it to his envious...",69679794.5,Comedy,70.0,47.0,91.0,52723.0,700.0
Tommy Boy,1995,41,42.391,Peter Segal,"Chris Farley, David Spade, Brian Dennehy, Bo Derek","After his beloved father (Brian Dennehy) dies, dimwitted Tommy Callahan (Chris Farley) inherits a near-bankrupt automobile parts factory in Sandusky,...",32648673.0,Comedy,71.0,46.0,97.0,85969.0,710.0
Life,1999,50,51.81,Ted Demme,"Eddie Murphy, Martin Lawrence, Obba Babatundé, Ned Beatty","During Prohibition, loudmouth Harlem grifter Ray (Eddie Murphy) and the no-nonsense Claude (Martin Lawrence) team up on a bootlegging mission...",101815660.0,Comedy,67.0,63.0,108.0,49950.0,670.0
Zoolander,2001,65,69.463,Ben Stiller,"Ben Stiller, Owen Wilson, Will Ferrell, Christine Taylor","Propelled to the top of the fashion world by a photogenic gaze he calls ""Blue Steel,"" dimwitted male model Derek...",60780981.0,Comedy,65.0,61.0,90.0,261336.0,650.0
Super Troopers,2001,36,37.554,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter","Always looking for action, five over-enthusiastic but under-stimulated Vermont State Troopers raise hell on the highway, keeping motorists anxiously looking...",23182223.0,Comedy,70.0,48.0,100.0,103764.0,700.0
Happy Gilmore,1996,61,63.827,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he...,41004412.0,Comedy,70.0,31.0,92.0,218210.0,700.0
21 Jump Street,2012,85,94.102,Phil Lord,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances...",202812429.0,Comedy,72.0,69.0,109.0,546265.0,720.0
Bill & Ted's Excellent Adventure,1989,81,84.998,Stephen Herek,"Keanu Reeves, Alex Winter, George Carlin, Bernie Casey","Bill (Alex Winter) and Ted (Keanu Reeves) are high school buddies starting a band. However, they are about to fail...",69679794.5,Comedy,69.0,50.0,90.0,128754.0,690.0
Broadcast News,1987,98,101.798,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even...,67331309.0,Comedy,72.0,84.0,133.0,30773.0,720.0
In the Loop,2009,94,100.04,Armando Iannucci,"Peter Capaldi, Tom Hollander, Gina McKee, James Gandolfini","During an interview, British Cabinet Minister Simon Foster (Tom Hollander) delivers an off-the-cuff remark that war in the Middle East...",7788804.0,Comedy,74.0,83.0,106.0,57508.0,740.0
Crazy Rich Asians,2018,91,112.982,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan","Rachel Chu is happy to accompany her longtime boyfriend, Nick, to his best friend's wedding in Singapore. She's also surprised...",238099711.0,Comedy,69.0,74.0,120.0,166390.0,690.0
Shaolin Soccer,2001,90,93.263,Stephen Chow,"Stephen Chow, Zhao Wei, Patrick Tse, Cecilia Cheung","All his life, an ordinary young man (Stephen Chow) has been treated like dirt. Still, he's never given up believing...",42776032.0,Comedy,73.0,68.0,87.0,79340.0,730.0
Up in Smoke,1978,47,48.221,Lou Adler,"Cheech Marin, Tommy Chong, Stacy Keach, Edie Adams","An unemployed pot-smoking slacker and amateur drummer, Anthony Stoner (Tommy Chong) ditches his strict parents and hits the road, eventually...",41590893.0,Comedy,57.0,70.0,61.0,184.0,570.0
The 40-Year-Old Virgin,2005,85,93.021,Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco","Andy Stitzer (Steve Carell) is an amiable single guy who works at a big-box store. Living alone, 40-year-old Andy spends...",69679794.5,Comedy,71.0,73.0,116.0,427394.0,710.0
The Grand Budapest Hotel,2014,92,104.957,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","In the 1930s, the Grand Budapest Hotel is a popular European ski resort, presided over by concierge Gustave H. (Ralph...",163503514.0,Comedy,81.0,88.0,99.0,780952.0,810.0
In Bruges,2008,84,91.466,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Ciarán Hinds","After a particularly difficult job, hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) head to Belgium to hide out...",34533783.0,Comedy,79.0,67.0,107.0,413975.0,790.0
American Pie,1999,61,65.422,Paul Weitz,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein","A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as...",234723148.0,Comedy,70.0,58.0,95.0,399405.0,700.0
Burn After Reading,2008,78,87.727,Joel Coen,"George Clooney, Frances McDormand, John Malkovich, Tilda Swinton",When a disc containing memoirs of a former CIA analyst (John Malkovich) falls into the hands of Linda Litzke (Frances...,168167798.0,Comedy,70.0,63.0,96.0,327870.0,700.0
Legally Blonde,2001,71,75.876,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis",Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there...,141809235.0,Comedy,64.0,59.0,96.0,210717.0,640.0
Pride,2014,92,98.335,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine","Realizing that they share common foes in Margaret Thatcher, the police and the conservative press, London-based gays and lesbians lend...",7285099.0,Comedy,78.0,79.0,119.0,55695.0,780.0
Beetlejuice,1988,85,89.061,Tim Burton,"Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones","After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their...",74837061.0,Comedy,75.0,70.0,92.0,291334.0,750.0
The Birdcage,1996,82,83.897,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest","In this remake of the classic French farce ""La Cage aux Folles,"" engaged couple Val Goldman (Dan Futterman) and Barbara...",181760553.0,Comedy,71.0,72.0,117.0,88134.0,710.0
City Slickers,1991,91,92.68,Ron Underwood,"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig","Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed...",124033872.0,Comedy,68.0,70.0,113.0,55915.0,680.0
Stripes,1981,88,89.753,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",Hard-luck cabbie John Winger (Bill Murray) -- directionless after being fired from his job and dumped by his girlfriend --...,85300000.0,Comedy,68.0,68.0,106.0,73041.0,680.0
Abbott and Costello Meet Frankenstein,1948,89,91.901,Charles Barton,"Bud Abbott, Lou Costello, Bela Lugosi, Lenore Aubert","In the first of Bud Abbott and Lou Costello's horror vehicles for Universal Pictures, the inimitable comic duo star as...",69679794.5,Horror,73.0,70.0,83.0,17436.0,730.0
Spy,2015,95,104.863,Paul Feig,"Melissa McCarthy, Jason Statham, Rose Byrne, Miranda Hart","Despite having solid field training, CIA analyst Susan Cooper (Melissa McCarthy) has spent her entire career as a desk jockey,...",69679794.5,Comedy,70.0,75.0,120.0,242237.0,700.0
Bridget Jones's Diary,2001,80,85.426,Sharon Maguire,"Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones","At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life...",277902373.0,Comedy,67.0,66.0,97.0,240519.0,670.0
Moonstruck,1987,94,98.953,Norman Jewison,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she...",80642215.0,Comedy,71.0,83.0,102.0,58591.0,710.0
The In-Laws,1979,88,87.113,Arthur Hiller,"Peter Falk, Alan Arkin, Richard Libertini, Nancy Dussault","Mild-mannered dentist Sheldon Kornpett (Alan Arkin) is uncomfortable with his daughter's marriage after meeting her future father-in-law, Vincent Ricardo (Peter...",38200000.0,Thriller,57.0,46.0,98.0,17065.0,570.0
The Ladykillers,1955,100,102.573,Alexander Mackendrick,"Alec Guinness, Katie Johnson, Cecil Parker, Herbert Lom","Mrs. Wilberforce (Katie Johnson) likes to report suspicious behavior to the police. Unaware of her reputation, the dapper thief Professor...",77392139.0,Comedy,62.0,56.0,104.0,104076.0,620.0
A League of Their Own,1992,80,86.312,Penny Marshall,"Tom Hanks, Geena Davis, Madonna, Lori Petty","As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up...",132440066.0,Comedy,73.0,69.0,128.0,104402.0,730.0
Dirty Rotten Scoundrels,1988,88,88.97,Frank Oz,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers","Con artist Lawrence Jamieson (Michael Caine) is a longtime resident of a luxurious coastal resort, where he enjoys the fruits...",42039000.0,Comedy,74.0,68.0,110.0,70935.0,740.0
"Good Morning, Vietnam",1987,91,92.821,Barry Levinson,"Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana",Radio funny man Adrian Cronauer (Robin Williams) is sent to Vietnam to bring a little comedy back into the lives...,69679794.5,Comedy,73.0,67.0,121.0,138385.0,730.0
M*A*S*H,1970,84,88.434,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman, Tom Skerritt","Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform...",81600000.0,Comedy,84.0,70.0,25.0,55965.0,840.0
When Harry Met Sally...,1989,91,96.09,Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby","In 1977, college graduates Harry Burns (Billy Crystal) and Sally Albright (Meg Ryan) share a contentious car ride from Chicago...",69679794.5,Comedy,77.0,76.0,95.0,213486.0,770.0
Harold & Kumar Go to White Castle,2004,74,78.855,Danny Leiner,"John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris","Nerdy accountant Harold (John Cho) and his irrepressible friend, Kumar (Kal Penn), get stoned watching television and find themselves utterly...",19474552.0,Comedy,70.0,64.0,88.0,193385.0,700.0
Napoleon Dynamite,2004,72,78.005,Jared Hess,"Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez","In small-town Preston, Idaho, awkward teen Napoleon Dynamite (Jon Heder) has trouble fitting in. After his grandmother is injured in...",46122713.0,Comedy,69.0,64.0,96.0,214690.0,690.0
Arthur,1981,88,88.64,Steve Gordon,"Dudley Moore, John Gielgud, Liza Minnelli, Geraldine Fitzgerald",Wealthy New York City playboy Arthur Bach (Dudley Moore) is perpetually drunk and completely rudderless. Dutifully supported by his sharp-tongued...,81464486.0,Comedy,69.0,69.0,97.0,28435.0,690.0
Tootsie,1982,90,93.872,Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",New York actor Michael Dorsey (Dustin Hoffman) is a talented perfectionist who is so hard on himself and others that...,177200000.0,Comedy,74.0,88.0,116.0,105219.0,740.0
Best in Show,2000,93,96.976,Christopher Guest,"Michael Hitchcock, Parker Posey, Eugene Levy, Catherine O'Hara","The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds...",20695413.0,Comedy,74.0,78.0,90.0,61435.0,740.0
"The Adventures of Priscilla, Queen of the Desert",1994,94,95.531,Stephan Elliott,"Terence Stamp, Hugo Weaving, Guy Pearce, Bill Hunter","When drag queen Anthony (Hugo Weaving) agrees to take his act on the road, he invites fellow cross-dresser Adam (Guy...",69679794.5,Comedy,75.0,70.0,104.0,49818.0,750.0
Mean Girls,2004,84,91.695,Mark Waters,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",Teenage Cady Heron (Lindsay Lohan) was educated in Africa by her scientist parents. When her family moves to the suburbs...,130714469.0,Comedy,71.0,66.0,97.0,370627.0,710.0
Spaceballs,1987,56,57.98,Mel Brooks,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman","In a distant galaxy, planet Spaceball has depleted its air supply, leaving its citizens reliant on a product called ""Perri-Air.""...",38119483.0,Comedy,71.0,46.0,96.0,186965.0,710.0
Sister Act,1992,74,75.631,Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena","When lively lounge singer Deloris Van Cartier (Whoopi Goldberg) sees her mobster beau, Vince LaRocca (Harvey Keitel), commit murder, she...",231600000.0,Comedy,64.0,51.0,100.0,97192.0,640.0
Step Brothers,2008,55,62.56,Adam McKay,"Will Ferrell, John C. Reilly, Richard Jenkins, Mary Steenburgen","Brennan Huff (Will Ferrell) and Dale Doback (John C. Reilly) have one thing in common: they are both lazy, unemployed...",128107642.0,Comedy,69.0,51.0,98.0,289209.0,690.0
UHF,1989,61,61.146,Jay Levey,"Weird Al Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards","After losing yet another job, George (Weird Al Yankovic) wonders if there is any career that can handle his outrageous...",6157157.0,Comedy,69.0,32.0,97.0,28331.0,690.0
National Lampoon's Vacation,1983,93,96.506,Harold Ramis,"Chevy Chase, Beverly D'Angelo, Christie Brinkley, Anthony Michael Hall","Accompanied by their children (Dana Barron, Anthony Michael Hall), Clark Griswold (Chevy Chase) and his wife, Ellen (Beverly D'Angelo), are...",69679794.5,Comedy,73.0,55.0,98.0,106901.0,730.0
Galaxy Quest,1999,90,94.322,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed...,90523726.0,Comedy,74.0,70.0,102.0,161658.0,740.0
Harold and Maude,1971,86,89.774,Hal Ashby,"Bud Cort, Ruth Gordon, Cyril Cusack, Vivian Pickles",Cult classic pairs Cort as a dead-pan disillusioned 20-year-old obsessed with suicide and a loveable Gordon as a fun-loving 80-year-old...,69679794.5,Comedy,79.0,62.0,91.0,76634.0,790.0
Meet the Parents,2000,84,89.348,Jay Roach,"Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo",Everything that can possibly go wrong for groom-to-be Greg Focker (Ben Stiller) does. The problems begin with Greg's disastrous first...,330425040.0,Comedy,70.0,73.0,108.0,329672.0,700.0
Girls Trip,2017,92,104.212,Malcolm D. Lee,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish","Best friends Ryan, Sasha, Lisa and Dina are in for the adventure of a lifetime when they travel to New...",140886353.0,Comedy,62.0,71.0,122.0,37261.0,620.0
Being There,1979,95,99.92,Hal Ashby,"Peter Sellers, Shirley MacLaine, Jack Warden, Melvyn Douglas","Simple-minded Chance (Peter Sellers), a gardener who has resided in the Washington, D.C., townhouse of his wealthy employer for his...",30177511.0,Comedy,80.0,83.0,130.0,71670.0,800.0
Wayne's World,1992,79,86.26,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere","A big screen spin-off of the ""Saturday Night Live"" skit. Rob Lowe plays a producer that wants to take the...",183097323.0,Comedy,70.0,57.0,94.0,154812.0,700.0
Fast Times at Ridgemont High,1982,78,82.258,Amy Heckerling,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus","Stacy Hamilton (Jennifer Jason Leigh) is a pretty, but inexperienced, teen interested in dating. Given advice by her uninhibited friend,...",27093116.0,Comedy,71.0,61.0,90.0,103415.0,710.0
Arsenic and Old Lace,1944,83,85.441,Frank Capra,"Cary Grant, Raymond Massey, Priscilla Lane, Peter Lorre","Writer and notorious marriage detractor Mortimer Brewster (Cary Grant) falls for girl-next-door Elaine Harper (Priscilla Lane), and they tie the...",69679794.5,Comedy,79.0,70.0,118.0,70074.0,790.0
Kung Fu Hustle,2004,90,98.117,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig...",102034104.0,Comedy,77.0,78.0,99.0,136958.0,770.0
Booksmart,2019,96,120.146,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",Academic overachievers Amy and Molly thought keeping their noses to the grindstone gave them a leg up on their high...,24949770.0,Comedy,71.0,84.0,102.0,113803.0,710.0
Heathers,1989,93,96.224,Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk","Veronica (Winona Ryder) is part of the most popular clique at her high school, but she disapproves of the other...",982614.0,Comedy,72.0,72.0,103.0,100966.0,720.0
Playtime,1967,98,103.7,Jacques Tati,"Jacques Tati, Barbara Dennek, Jacqueline Lecomte, Valérie Camille",Clumsy Monsieur Hulot (Jacques Tati) finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet...,69679794.5,Comedy,78.0,70.0,155.0,22408.0,780.0
Beverly Hills Cop,1984,83,86.665,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...",316300000.0,Comedy,73.0,66.0,105.0,180171.0,730.0
Office Space,1999,80,84.117,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu","Corporate drone Peter Gibbons (Ron Livingston) hates his soul-killing job at software company Initech. While undergoing hypnotherapy, Peter is left...",12179708.0,Comedy,77.0,68.0,89.0,260935.0,770.0
Four Weddings and a Funeral,1994,96,99.335,Mike Newell,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas, Simon Callow",Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a...,242895809.0,Comedy,71.0,81.0,117.0,150518.0,710.0
The Graduate,1967,87,93.543,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","Benjamin Braddock (Dustin Hoffman) has just finished college and, back at his parents' house, he's trying to avoid the one...",104466833.0,Comedy,80.0,83.0,106.0,269391.0,800.0
Ferris Bueller's Day Off,1986,81,86.959,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jennifer Grey",Ferris Bueller (Matthew Broderick) has an uncanny skill at cutting classes and getting away with it. Intending to make one...,69679794.5,Comedy,78.0,61.0,103.0,348200.0,780.0
There's Something About Mary,1998,83,87.046,Bobby Farrelly,"Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans",Ted's (Ben Stiller) dream prom date with Mary (Cameron Diaz) never happens due to an embarrassing injury at her home....,369884651.0,Comedy,71.0,69.0,119.0,307173.0,710.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,90,99.753,Larry Charles,"Sacha Baron Cohen, Pamela Anderson, Ken Davitian, Luenell","Outrageous situations occur when Borat, a popular reporter (Sacha Baron Cohen) from Kazakhstan, comes to the United States to film...",69679794.5,Comedy,73.0,89.0,84.0,400671.0,730.0
Friday,1995,75,76.158,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tiny Lister Jr.","It's Friday and Craig Jones (Ice Cube) has just gotten fired for stealing cardboard boxes. To make matters worse, rent...",27936778.0,Comedy,72.0,54.0,91.0,110949.0,720.0
Superbad,2007,87,96.295,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze...,169955142.0,Comedy,76.0,76.0,113.0,562995.0,760.0
Hot Fuzz,2007,91,100.046,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine","As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",80976736.0,Comedy,78.0,81.0,121.0,496028.0,780.0
The Hangover,2009,79,88.399,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","Two days before his wedding, Doug (Justin Bartha) and three friends (Bradley Cooper, Ed Helms, Zach Galifianakis) drive to Las...",465487583.0,Comedy,77.0,73.0,100.0,767307.0,770.0
Elf,2003,85,91.239,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",Buddy (Will Ferrell) was accidentally transported to the North Pole as a toddler and raised to adulthood among Santa's elves....,222344688.0,Comedy,70.0,64.0,97.0,261075.0,700.0
A Fish Called Wanda,1988,96,99.551,Charles Crichton,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin","British gangster George Thomason (Tom Georgeson) and his hapless aide, Ken Pile (Michael Palin), draft a pair of arrogant Americans,...",63493000.0,Comedy,75.0,80.0,108.0,140828.0,750.0
Anchorman: The Legend of Ron Burgundy,2004,66,74.247,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",Hotshot television anchorman Ron Burgundy (Will Ferrell) welcomes upstart reporter Veronica Corningstone (Christina Applegate) into the male-dominated world of 1970s...,89476265.0,Comedy,71.0,63.0,94.0,349853.0,710.0
Ghostbusters,1984,97,102.479,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver","After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a...",295596327.0,Comedy,78.0,71.0,105.0,404550.0,780.0
Austin Powers: International Man of Mystery,1997,74,76.799,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers","A world-class playboy and part-time special agent, Powers is defrosted after 30 years in a cryogenic freeze to match wits...",69679794.5,Comedy,70.0,51.0,89.0,236296.0,700.0
The Odd Couple,1968,97,100.804,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman","When fussy Felix (Jack Lemmon) becomes suicidal over his impending divorce, he accepts an offer to move in with his...",44527234.0,Comedy,79.0,70.0,30.0,6245.0,790.0
The Producers,1968,90,98.082,Mel Brooks,"Zero Mostel, Gene Wilder, Dick Shawn, Kenneth Mars","Down and out producer Max Bialystock (Zero Mostel), who was once the toast of Broadway, trades sexual favors with old...",160755.0,Comedy,75.0,96.0,88.0,55484.0,750.0
Clerks,1994,90,92.356,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonhauer",Dante (Brian O'Halloran) is called in to cover a shift at his New Jersey convenience store on his day off....,3894240.0,Comedy,77.0,70.0,92.0,219811.0,770.0
What We Do in the Shadows,2014,96,103.657,Jemaine Clement,"Jemaine Clement, Taika Waititi, Jonathan Brugh, Cori Gonzalez-Macuer","Vampire housemates (Jemaine Clement, Taika Waititi, Jonathan Brugh) try to cope with the complexities of modern life and show a...",8257983.0,Comedy,86.0,70.0,30.0,65303.0,860.0
"What's Up, Doc?",1972,89,92.336,Peter Bogdanovich,"Barbra Streisand, Ryan O'Neal, Madeline Kahn, Kenneth Mars",Two researchers have come to San Francisco to compete for a research grant in music. The man seems a bit...,57142740.0,Comedy,76.0,70.0,94.0,23730.0,760.0
Sullivan's Travels,1941,100,103.945,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest","Successful movie director John L. Sullivan (Joel McCrea), convinced he won't be able to film his ambitious masterpiece until he...",69679794.5,Adventure,79.0,70.0,90.0,26076.0,790.0
Caddyshack,1980,73,77.003,Harold Ramis,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight","Danny Noonan (Michael O'Keefe), a teen down on his luck, works as a caddy at the snob-infested Bushwood Country Club...",39849764.0,Comedy,72.0,48.0,98.0,115872.0,720.0
